datetime,air_temp_C,rel_hum_perc,wind_speed_ms,accum_precip_mm,solar_flux_Wm2
2023-01-09T17:30:00Z,0.6,71,2.9333333333333336,0.01,427.43333333333334
2023-01-09T17:45:00Z,1.1,70.33333333333333,2.833333333333333,0.01,418.3333333333333
2023-01-09T18:00:00Z,1.5666666666666669,70,2.6666666666666665,0.01,436.1333333333333
2023-01-09T18:15:00Z,1.9,69.66666666666667,2.933333333333333,0.01,431.53333333333336
2023-01-09T18:30:00Z,2.3666666666666667,69,2.5,0.01,418.6666666666667
2023-01-09T18:45:00Z,2.7333333333333334,69,3,0.01,404.56666666666666
2023-01-09T19:00:00Z,3,68.33333333333333,3.2,0.01,363.56666666666666
2023-01-09T19:15:00Z,3.1333333333333333,68.66666666666667,3.533333333333333,0.01,344.1
2023-01-09T19:30:00Z,3.3666666666666667,68.66666666666667,2.9,0.01,339.1
2023-01-09T19:45:00Z,3.3,69,4.4,0.01,339.76666666666665
2023-01-09T20:00:00Z,3.533333333333333,68.66666666666667,3.1999999999999997,0.01,168.23333333333332
2023-01-09T20:15:00Z,3.5,68.66666666666667,3.566666666666667,0.01,181.06666666666663
2023-01-09T20:30:00Z,3.466666666666667,68.33333333333333,4.3,0.01,194.56666666666663
2023-01-09T20:45:00Z,3.6333333333333337,69.33333333333333,4,0.01,184.7
2023-01-09T21:00:00Z,3.7,69,3.9,0.01,138.7
2023-01-09T21:15:00Z,3.7,68.33333333333333,4.7,0.01,172.43333333333334
2023-01-09T21:30:00Z,3.5,69,4.033333333333333,0.01,88.96666666666667
2023-01-09T21:45:00Z,3.2333333333333334,72,4.4,0.01,52.56666666666667
2023-01-09T22:00:00Z,3.033333333333333,73.66666666666667,4.366666666666667,0.01,25.2
2023-01-09T22:15:00Z,2.8666666666666667,75.33333333333333,4.433333333333334,0.01,12.8
2023-01-09T22:30:00Z,2.7666666666666666,76.66666666666667,4.566666666666666,0.01,3.3666666666666667
2023-01-09T22:45:00Z,2.6333333333333333,78.66666666666667,4.666666666666667,0.01,0.06666666666666667
2023-01-09T23:00:00Z,2.566666666666667,80.33333333333333,5.966666666666667,0.01,0
2023-01-09T23:15:00Z,2.5,81.66666666666667,5.7,0.01,0
2023-01-09T23:30:00Z,2.4,82.66666666666667,5.633333333333334,0.01,0
2023-01-09T23:45:00Z,2.433333333333333,83,6.133333333333334,0.01,0
2023-01-10T00:00:00Z,2.433333333333333,83.66666666666667,5.4,0.00333333333333333,0
2023-01-10T00:15:00Z,2.5,84,5.7,0,0
2023-01-10T00:30:00Z,2.3666666666666667,84.33333333333333,5.466666666666667,0,0
2023-01-10T00:45:00Z,2.2,85.33333333333333,5.6,0,0
2023-01-10T01:00:00Z,2.1,86.33333333333333,5.566666666666666,0,0
2023-01-10T01:15:00Z,2.033333333333333,87.33333333333333,5.833333333333333,0,0
2023-01-10T01:30:00Z,2.033333333333333,88,5.6000000000000005,0,0
2023-01-10T01:45:00Z,2.066666666666667,88,5.933333333333334,0,0
2023-01-10T02:00:00Z,2.1,88,5.833333333333334,0,0
2023-01-10T02:15:00Z,2.1,88,5.566666666666666,0,0
2023-01-10T02:30:00Z,2.2,87,5.433333333333334,0,0
2023-01-10T02:45:00Z,2.4,86,4.4,0,0
2023-01-10T03:00:00Z,2.666666666666667,85,4.733333333333333,0,0
2023-01-10T03:15:00Z,2.7,85.33333333333333,4.866666666666667,0,0
2023-01-10T03:30:00Z,2.666666666666667,86,5.5,0,0
2023-01-10T03:45:00Z,2.533333333333333,86.33333333333333,5.166666666666667,0,0
2023-01-10T04:00:00Z,2.5,87,4.933333333333334,0,0
2023-01-10T04:15:00Z,2.433333333333333,87,5.166666666666667,0,0
2023-01-10T04:30:00Z,2.466666666666667,87.66666666666667,5.9,0,0
2023-01-10T04:45:00Z,2.433333333333333,88,5.933333333333334,0,0
2023-01-10T05:00:00Z,2.3666666666666667,88.33333333333333,5.133333333333333,0,0
2023-01-10T05:15:00Z,2.2666666666666666,89,5.533333333333333,0,0
2023-01-10T05:30:00Z,2.2,89,5.5,0,0
2023-01-10T05:45:00Z,2.2,89,5.066666666666666,0,0
2023-01-10T06:00:00Z,2.2,89.66666666666667,6.033333333333333,0,0
2023-01-10T06:15:00Z,2.1333333333333333,90,6.333333333333333,0,0
2023-01-10T06:30:00Z,1.9666666666666663,90.33333333333331,6.1,0,0
2023-01-10T06:45:00Z,1.8333333333333333,91,5.933333333333334,0,0
2023-01-10T07:00:00Z,1.7333333333333334,91.66666666666669,5.333333333333333,0,0
2023-01-10T07:15:00Z,1.6,92,5.466666666666667,0,0
2023-01-10T07:30:00Z,1.5,93,4.966666666666667,0,0
2023-01-10T07:45:00Z,1.4,93,4.5,0,0
2023-01-10T08:00:00Z,1.3,93,3.3,0,0
2023-01-10T08:15:00Z,1.2666666666666666,94,3.8666666666666663,0,0
2023-01-10T08:30:00Z,1.2,94,4.4,0,0
2023-01-10T08:45:00Z,1.1666666666666667,94.33333333333331,4.166666666666667,0,0
2023-01-10T09:00:00Z,0.9333333333333332,95,3.8,0,0
2023-01-10T09:15:00Z,0.8333333333333334,95,3.3666666666666667,0,0
2023-01-10T09:30:00Z,0.7666666666666667,96,3.1666666666666665,0,0
2023-01-10T09:45:00Z,0.7,96,3.3333333333333335,0,0
2023-01-10T10:00:00Z,0.5666666666666667,96.66666666666669,3.1,0,0
2023-01-10T10:15:00Z,0.6,97,3.2333333333333334,0,0
