datetime,air_temp_C,rel_hum_perc,wind_speed_ms,accum_precip_mm,solar_flux_Wm2
2023-03-07T18:15:00Z,5.033333333333333,31.333333333333332,4.066666666666666,0,0
2023-03-07T18:30:00Z,4.733333333333333,29.333333333333332,4.4,0,0
2023-03-07T18:45:00Z,4.666666666666666,30.333333333333332,4.733333333333333,0,0
2023-03-07T19:00:00Z,4.4,30.666666666666668,5.666666666666667,0,0
2023-03-07T19:15:00Z,4.033333333333333,31.666666666666668,5.6000000000000005,0,0
2023-03-07T19:30:00Z,3.7666666666666666,34.666666666666664,5.466666666666667,0,0
2023-03-07T19:45:00Z,3.6,37.666666666666664,4.5,0,0
2023-03-07T20:00:00Z,3.3,39,3.3333333333333335,0,0
2023-03-07T20:15:00Z,3.033333333333333,40,3.1,0,0
2023-03-07T20:30:00Z,2.6333333333333333,40.333333333333336,3.6,0,0
2023-03-07T20:45:00Z,2.6,42.333333333333336,3.4,0,0
2023-03-07T21:00:00Z,2.3666666666666667,45,4.6,0,0
2023-03-07T21:15:00Z,2.166666666666667,47,4.833333333333333,0,0
2023-03-07T21:30:00Z,1.8,48.333333333333336,4.7,0,0
2023-03-07T21:45:00Z,1.6333333333333333,48.666666666666664,5.1,0,0
2023-03-07T22:00:00Z,1.5,49.666666666666664,4.266666666666667,0,0
2023-03-07T22:15:00Z,1.3333333333333333,50.333333333333336,4.166666666666667,0,0
2023-03-07T22:30:00Z,1.1333333333333333,51.333333333333336,3.6333333333333337,0,0
2023-03-07T22:45:00Z,0.9,52.666666666666664,4.4,0,0
2023-03-07T23:00:00Z,0.8666666666666667,54.666666666666664,3.8666666666666663,0,0
2023-03-07T23:15:00Z,0.7333333333333333,54.666666666666664,3.6333333333333337,0,0
2023-03-07T23:30:00Z,0.5333333333333333,56.666666666666664,4.7,0,0
2023-03-07T23:45:00Z,0.3666666666666667,59.666666666666664,3.9333333333333336,0,0
2023-03-08T00:00:00Z,0.3,61.666666666666664,4.5,0,0
2023-03-08T00:15:00Z,0.26666666666666666,64,5.133333333333333,0,0
2023-03-08T00:30:00Z,0.43333333333333335,66.33333333333333,3.6333333333333337,0,0
